method,avg_timesteps,avg_constraints_broken,avg_waiting_time,min_waiting_time,max_waiting_time
B1_s0.0c0.0w1.0mw0.0t0.0,27.68,0.0,5.600862539263703,0.0,15.82
B2_s0.0c0.0w1.0mw0.0t0.0,49.86,0.0,6.402277996240581,0.0,23.79
B1_s0.0c0.0w1.0mw1.5t0.0,28.0,0.0,5.779907447099816,0.0,16.44
B2_s0.0c0.0w1.0mw1.5t0.0,57.51,0.0,6.609685593316295,0.0,25.73
B1_s1.0c0.0w1.0mw0.0t0.0,27.09,0.0,5.613228330632338,0.0,15.79
B2_s1.0c0.0w1.0mw0.0t0.0,55.36,0.0,6.603231196950284,0.0,25.49
B1_s1.0c0.0w1.0mw1.5t0.0,27.23,0.0,5.572120874725809,0.0,16.04
B2_s1.0c0.0w1.0mw1.5t0.0,51.29,0.0,6.377282961914798,0.0,24.08
B1_s1.5c0.0w1.0mw0.0t0.0,27.97,0.0,5.661809860055855,0.0,16.13
B2_s1.5c0.0w1.0mw0.0t0.0,53.15,0.0,6.563222081402855,0.0,25.83
B1_s1.5c0.0w1.0mw1.5t0.0,27.57,0.0,5.662510596137781,0.0,16.04
B2_s1.5c0.0w1.0mw1.5t0.0,51.25,0.0,6.379295543536643,0.0,24.03
B1_s2.0c0.0w1.0mw0.0t0.0,26.47,0.0,5.516369710210402,0.0,15.78
B2_s2.0c0.0w1.0mw0.0t0.0,53.97,0.0,6.408680949702306,0.0,24.68
B1_s2.0c0.0w1.0mw1.5t0.0,26.7,0.0,5.510340071400679,0.0,15.61
B2_s2.0c0.0w1.0mw1.5t0.0,54.57,0.0,6.540486599939496,0.0,25.54
CDQN_s0.0c0.0w1.0mw0.0t0.0,23.77,0.0,6.18869736458927,0.0,20.33
CDQN_s0.0c0.0w1.0mw1.5t0.0,24.125,0.0,6.2396805596787,0.0,19.995
CDQN_s1.0c0.0w1.0mw0.0t0.0,23.21,0.0,6.186465391501639,0.0,19.745
CDQN_s1.0c0.0w1.0mw1.5t0.0,24.105,0.0,6.183250747028507,0.0,20.585
CDQN_s1.5c0.0w1.0mw0.0t0.0,24.135,0.0,6.159901008546259,0.0,20.23
CDQN_s1.5c0.0w1.0mw1.5t0.0,22.385,0.0,5.993450376201515,0.0,19.055
CDQN_s2.0c0.0w1.0mw0.0t0.0,24.2,0.0,6.159336172183012,0.0,20.475
CDQN_s2.0c0.0w1.0mw1.5t0.0,24.075,0.0,6.183320130672648,0.0,20.425
DQN_s0.0c0.0w1.0mw0.0t0.0,19.855,31.453488372093023,6.265042052864285,0.0,18.715
DQN_s0.0c0.0w1.0mw1.5t0.0,19.04,25.048076923076923,6.169835563980961,0.0,17.965
DQN_s1.0c0.0w1.0mw0.0t0.0,19.495,32.17857142857143,6.326759082062487,0.0,18.4
DQN_s1.0c0.0w1.0mw1.5t0.0,19.29,30.045454545454547,6.114832964407571,0.0,18.1
DQN_s1.5c0.0w1.0mw0.0t0.0,19.26,29.829545454545453,6.160745510049115,0.0,18.16
DQN_s1.5c0.0w1.0mw1.5t0.0,19.145,28.65217391304348,6.19286297799075,0.0,18.11
DQN_s2.0c0.0w1.0mw0.0t0.0,19.26,32.426829268292686,6.247960829439475,0.0,18.19
DQN_s2.0c0.0w1.0mw1.5t0.0,19.7,29.60869565217391,6.21292486213709,0.0,18.685
