method,avg_timesteps,avg_constraints_broken,avg_waiting_time,min_waiting_time,max_waiting_time
B1_s0.0c0.0w1.0mw0.0t0.0,27.68,0.0,5.600862539263703,0.0,15.82
B2_s0.0c0.0w1.0mw0.0t0.0,49.86,0.0,6.402277996240581,0.0,23.79
B1_s0.0c0.0w1.0mw1.5t0.0,28.0,0.0,5.779907447099816,0.0,16.44
B2_s0.0c0.0w1.0mw1.5t0.0,57.51,0.0,6.609685593316295,0.0,25.73
B1_s1.0c0.0w1.0mw0.0t0.0,27.09,0.0,5.613228330632338,0.0,15.79
B2_s1.0c0.0w1.0mw0.0t0.0,55.36,0.0,6.603231196950284,0.0,25.49
B1_s1.0c0.0w1.0mw1.5t0.0,27.23,0.0,5.572120874725809,0.0,16.04
B2_s1.0c0.0w1.0mw1.5t0.0,51.29,0.0,6.377282961914798,0.0,24.08
B1_s1.5c0.0w1.0mw0.0t0.0,27.97,0.0,5.661809860055855,0.0,16.13
B2_s1.5c0.0w1.0mw0.0t0.0,53.15,0.0,6.563222081402855,0.0,25.83
B1_s1.5c0.0w1.0mw1.5t0.0,27.57,0.0,5.662510596137781,0.0,16.04
B2_s1.5c0.0w1.0mw1.5t0.0,51.25,0.0,6.379295543536643,0.0,24.03
B1_s2.0c0.0w1.0mw0.0t0.0,26.47,0.0,5.516369710210402,0.0,15.78
B2_s2.0c0.0w1.0mw0.0t0.0,53.97,0.0,6.408680949702306,0.0,24.68
B1_s2.0c0.0w1.0mw1.5t0.0,26.7,0.0,5.510340071400679,0.0,15.61
B2_s2.0c0.0w1.0mw1.5t0.0,54.57,0.0,6.540486599939496,0.0,25.54
